location,date,text,polarity,subjectivity
Alabama,2020-02-17,Thank you for following Covid 19 Guidelines,0.0,0.1
Alabama,2020-02-18,It was good to get to finally see JSU in inter squad action tonight D1 schools were restricted from playing any Fall games this year due to Covid 19 Cooter Brown s BBQ wasn t too bad either Can t wait until Spring fearthebeak,-0.004999999999999982,0.5483333333333333
Alabama,2020-02-27,White House lists ending COVID 19 pandemic as accomplishment despite cases spiking to record levels Plaschke Justin Turner s act of selfishness leaves stain on Dodgers championship moment White House lists ending COVID 19 pandemic as accomplishment despite cases spiking to record levels,0.0,0.0
Alabama,2020-03-04,Get comfortable being uncomfortable shares her thoughts with about estate planning during a pandemic cfp estateplanning financialplanning,-0.04999999999999999,0.9
Alabama,2020-03-24,What annoys me about the talk of a Covid vaccine is that the media makes it seem like if they announce one today everyone can get it tomorrow and the pandemic ends They keep ignoring the logistical challenges and a public where 50 said they won t take it due to skepticism,-0.0625,0.22083333333333333
Alabama,2020-03-29,He s literally draining money like nobody s business amp flying all over the place to throw SuperSpreader s in the middle of the worst wave of a global pandemic I NEVER EVER EVER want to hear another Republican argue for not helping the people bc of debt concerns GTFO w that bs,-0.3333333333333333,0.3333333333333333
Alabama,2020-04-07,We ve learned a lot about COVID 19 since it s emergence in late 2019 Collection methods for testing have expanded from the initial nasopharyngeal swab Read about that and more changes on our blog,0.06666666666666667,0.3666666666666667
Alabama,2020-05-08,rubley The headline says whoa but he data says no prime example here Headline makes you fear but the article says There were 5 745 new test results reported Monday the lowest number in two weeks And this is less than a day ago,-0.015151515151515152,0.2606060606060606
Alabama,2020-06-03,Aside from the usual which boxes do I check stressors of Election Day the coronavirus pandemic presents an odd risk for voting safely,0.02777777777777779,0.3333333333333333
Alabama,2020-06-27,Three Western states join California s plan to independently review any COVID 19 vaccine before public distribution,0.0,0.06388888888888888
Alabama,2020-07-01,A rise in inpatient coronavirus cases for DCH Health System comes amid a nationwide trend of increased hospitalizations over the last few weeks I ll take the man that can walk down steps and drink water with one hand Also the one that cares enough about us to follow public health standards for a deadly COVID Pandemic RESIGN Pandemic is not over You are responsible for these deaths,-0.050793650793650794,0.2817460317460318
Alabama,2020-07-12,Go look at some Biden rallies before Coronavirus biden s supporters are just less h ll bent on self destruction and destroying this country Coronavirus does substantial permanent damage to a significant fraction of the people who get it Having both legs amputated has a similar survival rate,0.002083333333333326,0.3354166666666667
Alabama,2020-07-14,donald trump johnny appleseed spreading the covid 19 virus all across America,0.0,0.0
Alabama,2020-08-07,People with respiratory health issues are at a higher risk of developing serious complications and acute infections due to Flu Covid 19 and other respiratory pathogens Because it is Respiratory Health Week we especially want to urge you to stay well and stay informed At Coast,0.04444444444444443,0.6361111111111111
Alabama,2020-08-10,Didnt trump just say he ended the Corona virus pandemic Idk where trump is living but it will take the Tardis to get there Jesus help us,0.0,0.0
Alabama,2020-08-14,At PCR Dx the most advanced lab team in the region is working vigilantly to process your patient samples with expert precision Visit PCR Dx at to learn how we can partner with you We re here to help PCRDX PCR Covid19 Coronavirus Strategic Partnerships are what connect our industry and turn local businesses into regional brands Visit PCR Dx at to learn how we can partner with you We re here to help PCRDX PolymeraseChainReaction PCR Covid19 Coronavirus,0.3,0.3666666666666667
Alabama,2020-08-19,Though things may look a little different this year Spencer SHE wishes you a safe and happy Halloween No matter what you re doing to celebrate this year wear your masks social distance and wash your hands to prevent the spread of COVID 19,0.22916666666666669,0.5333333333333334
Alabama,2020-09-29,Excited to have an essay from my upcoming wrestling collection published in today This is my first piece written while in pandemic here s hoping everyone has a better tomorrow Still in a pandemic Who knew,0.375,0.5277777777777778
Alabama,2020-10-04,Someone give her the covid 19 maybe then we will get our stimulus,0.0,0.0
Alabama,2020-10-05,More than half of US states reported their highest day of coronavirus cases this month SmartNews Donald Trump now claims his son Barron had Coronavirus for 15 minutes not two seconds SmartNews Well one things for sure They wouldn t be able to breathe well if they had coronavirus Or Dr Fauci is FOS,0.33333333333333337,0.5451388888888888
Alabama,2020-10-09,LiL boy Girl Bobby I ll tell you what if we stop testing how many positive COVID 19 results we ll get NONE DUMMY because we stop testing I KNOW YOU FAILED MATH IN SCHOOL LoL,0.25681818181818183,0.5113636363636364
Alabama,2020-10-26,weekend to Pensacola Florida for a funeral there The funeral was actually packed with there with still COVID 19 precautions still into place which made me even more upset about that fact I couldn t cheer up after the funerals over the weekend even at back home The only Then the next biggest thing is when COVID 19 began spreading to most areas of the United States Then on March 14th when the President declares a national state of emergency all schools including mine were ordered to shut down meaning I couldn t say my final goodbyes to my,0.10555555555555556,0.4236111111111111
Alaska,2020-05-11,The people replying negatively toward trump and Mike think you have the answer You are only speculating results of diff handling No country has a handle on this pandemic regardless of how they handle it Fact,-0.15,0.7
Alaska,2020-05-15,My latest Sightline piece The absentee ballot witness signature rule was ineffective and inconvenient and dangerous during a pandemic Dropping the rule is a win for Alaska voters,0.025000000000000022,0.7999999999999999
Alaska,2020-08-15,You must mean this,-0.3125,0.6875
Alaska,2020-08-27,This is the equivalent of Susan Collins being very concerned Anchorage officials urge people to take greater COVID 19 precautions to get city off a dangerous path Cases and hospitalizations surge as U S reaches a critical point in COVID 19 pandemic CNBC If any of you know Chris he has coronavirus and is having a difficult time He could use some encouragement COVID19 is not a joke Chris is a basketball coach and the program director for COVID19 anchorage Alaska notahoax These recommendations based on our COVID19 data match the guidelines set by the White House Coronavirus Task Force and Harvard Global Health Institute Enable remote learning for all students All government levels should invest in remote learning Alaska Anchorage ASD Cases and hospitalizations surge as U S reaches a critical point in COVID 19 pandemic CNBC The state is always blaming someone or some thing What a great response in the middle of a pandemic Governor Dunleavy must be so proud,0.07692307692307693,0.49615384615384617
Alaska,2020-10-06,For his point to make sense wouldn t that mean that coronavirus cases would also drop by substantial numbers,-0.3125,0.6875
Arizona,2020-02-06,Trump has given up on vanquishing COVID 19 so now he wants to vanquish the vaccine,0.2,0.1
Arizona,2020-02-07,The gaslighting to end all gaslighting The gaslighting to end all gaslighting,0.0,0.0
